"Domain Name","Bidders","Minimum Bid","Order By","Status","",""
"009652.com","0","277","Jul 25, 2022 12:15:00 PM","Buy It Now","","",
"018k018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018kk018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018l018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018ll018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018m018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018mm018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018n018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018nn018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018o018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018oo018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018p018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018pp018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018q018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018qq018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018r018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018rr018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018s018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018ss018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018t018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018tt018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018u018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018uu018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018v018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018vin.com","0","277","Jan 23, 2022 12:15:00 PM","Buy It Now","","",
"018vv018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018w018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018ww018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018x018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018xx018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018y018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018yy018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018z018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"018zz018.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"01900.cc","-","79","Dec 1, 2021 12:45:00 AM","Available Soon","","",
"01909.cc","-","79","Dec 1, 2021 12:45:00 AM","Available Soon","","",
"019113.com","0","377","Mar 26, 2022 12:15:00 PM","Buy It Now","","",
"01921.cc","-","79","Dec 1, 2021 12:45:00 AM","Available Soon","","",
"01925.cc","-","79","Dec 1, 2021 12:45:00 AM","Available Soon","","",
"0192953.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"01929a.com","0","277","Dec 1, 2021 12:15:00 PM","Buy It Now","","",
"01930.cc","-","79","Dec 1, 2021 12:45:00 AM","Available Soon","","",
"01932.cc","-","79","Dec 1, 2021 12:45:00 AM","Available Soon","","",
"019321.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"019337.com","0","377","May 16, 2022 12:15:00 PM","Buy It Now","","",
"019358.com","0","277","Mar 29, 2022 12:15:00 PM","Buy It Now","","",
"019364.com","0","277","Jan 16, 2022 12:15:00 PM","Buy It Now","","",
"01937.cc","-","79","Dec 1, 2021 12:45:00 AM","Available Soon","","",
"01945.com","-","69","Dec 5, 2021 9:00:00 PM","Available Soon","Reserve: $201 - $500","Reserve Not Met",
"019600.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"0196925.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"019700.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"019710.com","0","277","Dec 22, 2021 12:15:00 PM","Buy It Now","","",
"0197972.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"019799.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"0197gc.com","0","79","Dec 6, 2021 9:00:00 PM","Available Soon","","",
"0198288.com","0","277","Oct 20, 2022 12:15:00 PM","Buy It Now","","",
"01983.com","7","70","Dec 1, 2021 12:50:00 PM","In Auction","Reserve: $201 - $500","Reserve Not Met",
"01986.cc","-","79","Dec 1, 2021 12:45:00 AM","Available Soon","","",
"019864.com","0","377","May 5, 2022 12:15:00 PM","Buy It Now","","",
"019919.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"0199541.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"0199927.com","0","277","Feb 9, 2022 12:15:00 PM","Buy It Now","","",
"0199957.com","0","277","May 12, 2022 12:15:00 PM","Buy It Now","","",
"019g.cc","-","79","Dec 3, 2021 12:45:00 AM","Available Soon","","",
"019vin.com","0","277","Jan 23, 2022 12:15:00 PM","Buy It Now","","",
"01a2.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"01aaht12bd.com","0","277","Dec 17, 2021 12:15:00 PM","Buy It Now","","",
"01adc.com","0","277","Mar 20, 2022 12:15:00 PM","Buy It Now","","",
"01admin.com","0","277","Feb 12, 2022 12:15:00 PM","Buy It Now","","",
"01avfwa4jp.com","0","277","Dec 17, 2021 12:15:00 PM","Buy It Now","","",
"01b3.com","0","79","Dec 14, 2021 9:00:00 PM","Available Soon","","",
"01base.com","-","79","Dec 17, 2021 9:00:00 PM","Available Soon","","",
"01bee.com","0","277","Dec 9, 2021 12:15:00 PM","Buy It Now","","",
"01biao.com","0","79","Nov 30, 2021 9:00:00 PM","Available Soon","","",
"01bocai.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"01bots.com","0","79","Dec 12, 2021 9:00:00 PM","Available Soon","","",
"01camlive.com","0","79","Dec 3, 2021 9:00:00 PM","Available Soon","","",
"01cams.net","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"01casinos.com","0","277","May 17, 2022 12:15:00 PM","Buy It Now","","",
"01crea.net","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"01dot.com","0","277","May 7, 2022 12:15:00 PM","Buy It Now","","",
"01e6.com","0","277","Jan 11, 2022 12:15:00 PM","Buy It Now","","",
"01elf3.com","0","377","Apr 3, 2022 12:15:00 PM","Buy It Now","","",
"01f6.com","0","79","Dec 3, 2021 9:00:00 PM","Available Soon","","",
"01floorsandingandvarnishing.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"01focus.com","0","277","Mar 14, 2022 12:15:00 PM","Buy It Now","","",
"01font.com","-","79","Dec 8, 2021 9:00:00 PM","Available Soon","","",
"01fun.com","-","79","Dec 14, 2021 9:00:00 PM","Available Soon","","",
"01fzl.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"01g22lrkfl.com","0","277","Dec 16, 2021 12:15:00 PM","Buy It Now","","",
"01g299fz6t.com","0","277","Dec 17, 2021 12:15:00 PM","Buy It Now","","",
"01game.net","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"01haber.net","0","79","Dec 14, 2021 9:00:00 PM","Available Soon","","",
"01i8.com","0","277","Dec 10, 2021 12:15:00 PM","Buy It Now","","",
"01if.com","0","277","Jan 1, 2022 12:15:00 PM","Buy It Now","","",
"01inn.com","-","79","Dec 1, 2021 9:00:00 PM","Available Soon","","",
"01its.com","0","277","Dec 13, 2021 12:15:00 PM","Buy It Now","","",
"01ketang.cc","-","79","Nov 30, 2021 12:45:00 AM","Available Soon","","",
"01liang.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"01lottery.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"01mangguo.com","0","79","Nov 30, 2021 9:00:00 PM","Available Soon","","",
"01maoyi.com","0","79","Dec 6, 2021 9:00:00 PM","Available Soon","","",
"01messsand.com","0","377","Apr 21, 2022 12:15:00 PM","Buy It Now","","",
"01mould.com","0","79","Dec 8, 2021 9:00:00 PM","Available Soon","","",
"01oi.com","0","79","Dec 10, 2021 9:00:00 PM","Available Soon","","",
"01pin.com","0","277","Feb 3, 2022 12:15:00 PM","Buy It Now","","",
"01ppi.com","0","79","Nov 28, 2021 9:00:00 PM","Available Soon","","",
"01puh.com","0","79","Nov 29, 2021 9:00:00 PM","Available Soon","","",
"01pvc.com","0","277","Jan 2, 2022 12:15:00 PM","Buy It Now","","",
"01rush.com","0","377","Apr 2, 2022 12:15:00 PM","Buy It Now","","",
"01rwtpb8rg.com","0","277","Dec 17, 2021 12:15:00 PM","Buy It Now","","",
"01shoes.com","0","277","Feb 22, 2022 12:15:00 PM","Buy It Now","","",
"01sih.com","0","79","Nov 28, 2021 9:00:00 PM","Available Soon","","",
"01spa.com","0","277","Mar 26, 2022 12:15:00 PM","Buy It Now","","",
"01street.com","0","277","Dec 9, 2021 12:15:00 PM","Buy It Now","","",
"01time.com","0","79","Dec 18, 2021 9:00:00 PM","Available Soon","","",
"01toy.com","0","79","Nov 29, 2021 9:00:00 PM","Available Soon","","",
"01u21a85l9.com","0","277","Dec 16, 2021 12:15:00 PM","Buy It Now","","",
"01vin.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"01woomin.com","-","69","Dec 17, 2021 9:00:00 PM","Available Soon","","",
"01zhuangxiu.com","0","79","Dec 4, 2021 9:00:00 PM","Available Soon","","",
"01zqzgpapl.com","0","277","Dec 16, 2021 12:15:00 PM","Buy It Now","","",
"02-aug-20.info","0","977","Nov 7, 2022 12:15:00 PM","Buy It Now","","",
"02-sep-20.info","-","79","Dec 3, 2021 2:00:00 AM","Available Soon","","",
"020019.com","0","277","Oct 9, 2022 12:15:00 PM","Buy It Now","","",
"020057.com","0","277","Dec 6, 2021 12:15:00 PM","Buy It Now","","",
"0201mst.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"0202hh.com","0","79","Dec 7, 2021 9:00:00 PM","Available Soon","","",
"020305.com","-","79","Nov 27, 2021 9:00:00 PM","Available Soon","","",
"02033.cc","-","79","Dec 1, 2021 12:45:00 AM","Available Soon","","",
"020368.com","0","677","Aug 28, 2022 12:15:00 PM","Buy It Now","","",
"0203dd.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"0205101.com","0","777","Aug 29, 2022 12:15:00 PM","Buy It Now","","",
"0205399.com","0","277","Mar 5, 2022 12:15:00 PM","Buy It Now","","",
"020556.com","0","377","Jul 23, 2022 12:15:00 PM","Buy It Now","","",
"02056.cc","-","79","Dec 1, 2021 12:45:00 AM","Available Soon","","",
"02057.cc","-","79","Dec 1, 2021 12:45:00 AM","Available Soon","","",
"0206.org","0","79","Dec 8, 2021 9:00:00 PM","Available Soon","","",
"020618.com","0","277","Oct 22, 2022 12:15:00 PM","Buy It Now","","",
"0207495.com","0","277","Apr 7, 2022 12:15:00 PM","Buy It Now","","",
"020758.com","0","277","Mar 5, 2022 12:15:00 PM","Buy It Now","","",
"02081.com","9","80","Dec 1, 2021 12:50:00 PM","In Auction","Reserve: $201 - $500","Reserve Not Met",
"020863.net","0","79","Dec 9, 2021 9:00:00 PM","Available Soon","","",
"020918.com","-","79","Dec 12, 2021 9:00:00 PM","Available Soon","","",
"020alit.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"020allow.com","0","277","Dec 15, 2021 12:15:00 PM","Buy It Now","","",
"020amn.com","0","79","Nov 30, 2021 9:00:00 PM","Available Soon","","",
"020baoan.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"020bh.com","0","79","Dec 11, 2021 9:00:00 PM","Available Soon","","",
"020boyue.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
